"id","dam","sire"
"E066160",NA,NA
"C375679",NA,NA
"C716487",NA,NA
"C695208",NA,NA
"E066325",NA,NA
"C375681",NA,NA
"C695566",NA,NA
"C695575",NA,NA
"C375626",NA,NA
"19871C34_DAM",NA,NA
"VB54397",NA,NA
"B069478",NA,NA
"C695701",NA,NA
"B067864",NA,NA
"C375808",NA,NA
"C695254",NA,NA
"E066227",NA,NA
"C375396",NA,NA
"EO66320",NA,NA
"E066321",NA,NA
"19871EX41E_DAM",NA,NA
"C375689",NA,NA
"C695630",NA,NA
"E066206",NA,NA
"C375645",NA,NA
"C375749",NA,NA
"JV92665",NA,NA
"NE94012",NA,NA
"E067712",NA,NA
"C375604",NA,NA
"E067897",NA,NA
"E068000",NA,NA
"C375699",NA,NA
"C375773",NA,NA
"C695256",NA,NA
"C695537",NA,NA
"C375609",NA,NA
"JV92677",NA,NA
"B069199",NA,NA
"A725127",NA,NA
"E066042",NA,NA
"C695250",NA,NA
"C375651",NA,NA
"C696800",NA,NA
"A725181",NA,NA
"C695616",NA,NA
"C375675",NA,NA
"JV92676",NA,NA
"C716315",NA,NA
"C695225",NA,NA
"B068656",NA,NA
"NE93578",NA,NA
"B069592",NA,NA
"19851P20_DAM",NA,NA
"NN28452",NA,NA
"19851W97_DAM",NA,NA
"C375398",NA,NA
"B068250",NA,NA
"JV92679",NA,NA
"B067950",NA,NA
"C716485",NA,NA
"C716441",NA,NA
"C696748",NA,NA
"B067132",NA,NA
"B068662",NA,NA
"B069890",NA,NA
"B067827",NA,NA
"A725199",NA,NA
"C696549",NA,NA
"NE96402",NA,NA
"C696273",NA,NA
"C696253",NA,NA
"B067946",NA,NA
"B068600",NA,NA
"C375448",NA,NA
"A007890",NA,NA
"C121652",NA,NA
"A007150",NA,NA
"B069386",NA,NA
"BR27012",NA,NA
"NE93576",NA,NA
"JV92663",NA,NA
"B069051",NA,NA
"B067860",NA,NA
"NN30276",NA,NA
"B067854",NA,NA
"KR84559",NA,NA
"NE93652",NA,NA
"KR83094",NA,NA
"B068565",NA,NA
"B068661",NA,NA
"A007674",NA,NA
"KR83082",NA,NA
"B068555",NA,NA
"NE95618",NA,NA
"B067122",NA,NA
"NE94504",NA,NA
"B067135",NA,NA
"NE95603",NA,NA
"KR81343",NA,NA
"NE95594",NA,NA
"NE93685",NA,NA
"NE95615",NA,NA
"NE95980",NA,NA
"NE96649",NA,NA
"NE95616",NA,NA
"A725632",NA,NA
"NE96017",NA,NA
"NE96634",NA,NA
"A007880",NA,NA
"A007873",NA,NA
"B067460",NA,NA
"B067123",NA,NA
"NE26798",NA,NA
"NE93690",NA,NA
"NE93573",NA,NA
"B067124",NA,NA
"NE95627",NA,NA
"NE96638",NA,NA
"A007700",NA,NA
"NE96405",NA,NA
"A007867",NA,NA
"KR83086",NA,NA
"B067120",NA,NA
"NE95622",NA,NA
"NE93654",NA,NA
"A007866",NA,NA
"B067129",NA,NA
"NE93579",NA,NA
"NE93600",NA,NA
"B067130",NA,NA
"NE93668",NA,NA
"19831W87_DAM",NA,NA
"B067118",NA,NA
"19831W25_DAM",NA,NA
"NE96644",NA,NA
"NK59385",NA,NA
"A007672",NA,NA
"KR81490",NA,NA
"KR83087",NA,NA
"A007124",NA,NA
"A007122",NA,NA
"NC09011",NA,NA
"NE93811",NA,NA
"NE95601",NA,NA
"NE93719",NA,NA
"NC09991",NA,NA
"NE93581",NA,NA
"KC96221",NA,NA
"NE93584",NA,NA
"NC09574",NA,NA
"NE94861",NA,NA
"19811O71_DAM",NA,NA
"NE94515",NA,NA
"NE94506",NA,NA
"KR83096",NA,NA
"KR84466",NA,NA
"NE94006",NA,NA
"KR81484",NA,NA
"KR83081",NA,NA
"A003799",NA,NA
"KR81452",NA,NA
"KR84536",NA,NA
"19811SW81_DAM",NA,NA
"KR81340",NA,NA
"NE92047",NA,NA
"KR84568",NA,NA
"NE92865",NA,NA
"NE94502",NA,NA
"A003802",NA,NA
"A003807",NA,NA
"A003762",NA,NA
"19812CP13_DAM",NA,NA
"19801W105_DAM",NA,NA
"A003778",NA,NA
"KR81466",NA,NA
"KR84467",NA,NA
"A003759",NA,NA
"19801W94_DAM",NA,NA
"A003757",NA,NA
"NC09569",NA,NA
"NC09995",NA,NA
"KJ73117",NA,NA
"KJ73148",NA,NA
"KR81310",NA,NA
"NC09732",NA,NA
"NA21509",NA,NA
"KR81302",NA,NA
"19791C115_DAM",NA,NA
"19791C135_DAM",NA,NA
